"","Conifers","Deciduous","Mixed.forest","Open.canopy"
"sSphang",27,1,0,33
"sSphcap",74,8,0,21
"sSphcen",7,1,0,0
"sSphfle",1,0,0,1
"sSphfus",7,0,0,26
"sSphgir",46,9,3,5
"sSphmag",20,0,0,20
"sSphqui",2,1,0,0
"sSphrub",2,0,0,1
"sSphrus",7,0,0,5
"sSphsqu",11,1,2,1
"sSphwul",5,1,0,0
